time step,id,x,y,z
40,1207,0.456895,0.0359172,0.510132
40,1203,0.0132671,0.511222,0.107146
40,1204,0.935487,0.65658,0.494772
40,1210,0.893786,0.81983,0.361438
40,1208,0.77351,0.802308,0.0207115
40,1201,0.240491,0.434507,0.771983
40,1202,0.419521,0.875344,0.673995
40,1206,0.343793,0.905749,0.871242
40,1209,0.438448,0.652121,0.925063
41,1205,0.252164,0.301353,0.320734
41,1207,0.456883,0.035906,0.510146
41,1203,0.0132732,0.511225,0.107143
41,1204,0.935456,0.656598,0.494831
41,1210,0.893827,0.819837,0.361429
41,1208,0.773542,0.802273,0.0207307
41,1201,0.240488,0.434532,0.77203
41,1202,0.419519,0.875343,0.673971
41,1206,0.34379,0.905724,0.871246
41,1209,0.438417,0.652085,0.925049
42,1205,0.252113,0.301366,0.320744
42,1207,0.456872,0.0358946,0.510159
42,1203,0.0132792,0.511228,0.10714
42,1204,0.935426,0.656616,0.494891
42,1210,0.893869,0.819845,0.36142
42,1208,0.773574,0.802238,0.0207504
42,1201,0.240485,0.434557,0.772077
42,1202,0.419517,0.875343,0.673946
42,1206,0.343788,0.905701,0.87125
42,1209,0.438386,0.652049,0.925036
43,1205,0.252063,0.301378,0.320753
43,1207,0.456861,0.035883,0.510173
43,1203,0.013285,0.511232,0.107136
43,1204,0.935395,0.656635,0.49495
43,1210,0.893911,0.819852,0.361411
43,1208,0.773607,0.802202,0.0207705
43,1201,0.240482,0.434582,0.772125
43,1202,0.419514,0.875342,0.673922
43,1206,0.343786,0.905677,0.871253
43,1209,0.438355,0.652014,0.925022
44,1205,0.252012,0.301391,0.320763
44,1207,0.456851,0.0358711,0.510186
44,1203,0.0132907,0.511235,0.107132
44,1204,0.935364,0.656653,0.495009
44,1210,0.893953,0.81986,0.361401
44,1208,0.773641,0.802166,0.0207912
44,1201,0.240479,0.434607,0.772173
44,1202,0.419511,0.875341,0.673898
44,1206,0.343785,0.905654,0.871256
44,1209,0.438324,0.651979,0.925009
45,1205,0.251961,0.301404,0.320773
45,1207,0.456841,0.035859,0.5102
45,1203,0.0132962,0.511239,0.107127
45,1204,0.935334,0.656671,0.495069
45,1210,0.893995,0.819867,0.361391
45,1208,0.773674,0.802131,0.0208123
45,1201,0.240476,0.434632,0.772221
45,1202,0.419508,0.87534,0.673874
45,1206,0.343784,0.905631,0.87126
45,1209,0.438293,0.651944,0.924995
46,1205,0.25191,0.301417,0.320783
46,1207,0.456832,0.0358467,0.510213
46,1203,0.0133016,0.511243,0.107122
46,1204,0.935304,0.656689,0.495128
46,1210,0.894037,0.819875,0.361382
46,1208,0.773708,0.802095,0.0208339
46,1201,0.240473,0.434657,0.772269
46,1202,0.419505,0.875339,0.673849
46,1206,0.343784,0.905608,0.871262
46,1209,0.438261,0.651909,0.924981
47,1205,0.251859,0.301431,0.320793
47,1207,0.456823,0.0358342,0.510227
47,1203,0.0133068,0.511248,0.107116
47,1204,0.935273,0.656707,0.495187
47,1210,0.894079,0.819882,0.361372
47,1208,0.773743,0.802059,0.020856
47,1201,0.24047,0.434682,0.772317
47,1202,0.419501,0.875338,0.673825
47,1206,0.343784,0.905586,0.871265
47,1209,0.43823,0.651875,0.924968
48,1205,0.251808,0.301444,0.320803
48,1207,0.456815,0.0358215,0.51024
48,1203,0.0133119,0.511252,0.10711
48,1204,0.935243,0.656724,0.495246
48,1210,0.894121,0.81989,0.361361
48,1208,0.773777,0.802023,0.0208786
48,1201,0.240467,0.434708,0.772366
48,1202,0.419497,0.875336,0.6738
48,1206,0.343785,0.905564,0.871267
48,1209,0.438199,0.65184,0.924954
49,1205,0.251756,0.301457,0.320813
49,1207,0.456807,0.0358085,0.510254
49,1203,0.0133168,0.511257,0.107104
49,1204,0.935213,0.656742,0.495305
49,1210,0.894163,0.819898,0.361351
49,1208,0.773812,0.801987,0.0209016
49,1201,0.240463,0.434733,0.772414
49,1202,0.419493,0.875334,0.673776
49,1206,0.343787,0.905543,0.87127
49,1209,0.438167,0.651806,0.92494
50,1205,0.251705,0.30147,0.320823
50,1207,0.4568,0.0357954,0.510267
50,1203,0.0133216,0.511262,0.107097
50,1204,0.935183,0.65676,0.495363
50,1210,0.894204,0.819906,0.36134
50,1208,0.773848,0.801951,0.0209251
50,1201,0.24046,0.434758,0.772463
50,1202,0.419488,0.875332,0.673751
50,1206,0.343789,0.905521,0.871272
50,1209,0.438135,0.651772,0.924926
51,1205,0.251653,0.301484,0.320834
51,1207,0.456794,0.035782,0.510281
51,1203,0.0133262,0.511267,0.10709
51,1204,0.935154,0.656777,0.495422
51,1210,0.894246,0.819913,0.36133
51,1208,0.773883,0.801914,0.0209491
51,1201,0.240457,0.434784,0.772511
51,1202,0.419484,0.87533,0.673727
51,1206,0.343791,0.905501,0.871273
51,1209,0.438104,0.651738,0.924912
52,1205,0.251601,0.301497,0.320844
52,1207,0.456787,0.0357684,0.510294
52,1203,0.0133307,0.511272,0.107082
52,1204,0.935124,0.656795,0.495481
52,1210,0.894288,0.819921,0.361319
52,1208,0.773919,0.801878,0.0209735
52,1201,0.240453,0.434809,0.77256
52,1202,0.419479,0.875328,0.673702
52,1206,0.343794,0.90548,0.871275
52,1209,0.438072,0.651705,0.924898
53,1205,0.251549,0.301511,0.320854
53,1207,0.456782,0.0357546,0.510308
53,1203,0.013335,0.511278,0.107074
53,1204,0.935094,0.656812,0.495539
53,1210,0.89433,0.819929,0.361308
53,1208,0.773955,0.801841,0.0209985
53,1201,0.240449,0.434835,0.772609
53,1202,0.419473,0.875326,0.673677
53,1206,0.343797,0.90546,0.871276
53,1209,0.43804,0.651671,0.924884
54,1205,0.251497,0.301525,0.320864
54,1207,0.456777,0.0357405,0.510321
54,1203,0.0133391,0.511284,0.107066
54,1204,0.935065,0.656829,0.495598
54,1210,0.894371,0.819937,0.361297
54,1208,0.773992,0.801804,0.0210239
54,1201,0.240446,0.434861,0.772658
54,1202,0.419468,0.875323,0.673653
54,1206,0.343801,0.90544,0.871277
54,1209,0.438009,0.651638,0.92487
55,1205,0.251444,0.301538,0.320875
55,1207,0.456772,0.0357263,0.510335
55,1203,0.0133431,0.51129,0.107057
55,1204,0.935036,0.656846,0.495656
55,1210,0.894413,0.819945,0.361286
55,1208,0.774029,0.801768,0.0210497
55,1201,0.240442,0.434886,0.772707
55,1202,0.419462,0.87532,0.673628
55,1206,0.343806,0.905421,0.871278
55,1209,0.437977,0.651605,0.924856
56,1205,0.251392,0.301552,0.320885
56,1207,0.456768,0.0357119,0.510348
56,1203,0.0133469,0.511296,0.107048
56,1204,0.935007,0.656863,0.495714
56,1210,0.894455,0.819953,0.361274
56,1208,0.774066,0.801731,0.021076
56,1201,0.240438,0.434912,0.772757
56,1202,0.419456,0.875317,0.673603
56,1206,0.343811,0.905401,0.871279
56,1209,0.437945,0.651573,0.924842
57,1205,0.251339,0.301566,0.320896
57,1207,0.456765,0.0356972,0.510361
57,1203,0.0133506,0.511302,0.107038
57,1204,0.934978,0.65688,0.495772
57,1210,0.894496,0.819961,0.361262
57,1208,0.774103,0.801694,0.0211028
57,1201,0.240434,0.434938,0.772806
57,1202,0.41945,0.875314,0.673578
57,1206,0.343817,0.905383,0.871279
57,1209,0.437913,0.65154,0.924827
58,1205,0.251287,0.30158,0.320906
58,1207,0.456762,0.0356823,0.510374
58,1203,0.0133541,0.511309,0.107028
58,1204,0.934949,0.656896,0.49583
58,1210,0.894538,0.819969,0.361251
58,1208,0.774141,0.801656,0.0211301
58,1201,0.24043,0.434964,0.772855
58,1202,0.419443,0.875311,0.673554
58,1206,0.343823,0.905364,0.871279
58,1209,0.437882,0.651508,0.924813
59,1205,0.251234,0.301594,0.320917
59,1207,0.456759,0.0356673,0.510388
59,1203,0.0133575,0.511316,0.107018
59,1204,0.93492,0.656913,0.495888
59,1210,0.894579,0.819977,0.361239
59,1208,0.774179,0.801619,0.0211578
59,1201,0.240426,0.43499,0.772904
59,1202,0.419437,0.875307,0.673529
59,1206,0.343829,0.905346,0.871279
59,1209,0.43785,0.651476,0.924799
60,1205,0.251181,0.301609,0.320927
60,1207,0.456757,0.035652,0.510401
60,1203,0.0133607,0.511323,0.107007
60,1204,0.934892,0.656929,0.495945
60,1210,0.89462,0.819986,0.361227
60,1208,0.774217,0.801582,0.021186
60,1201,0.240422,0.435016,0.772954
60,1202,0.41943,0.875304,0.673504
60,1206,0.343836,0.905328,0.871279
60,1209,0.437818,0.651445,0.924784
